2020;0521;PIP UT AGROINDUSTRIAL AYACUCHO;PIP UT AGROINDUSTRIAL AYACUCHO;I
2020;0522;PIP CITE AGROINDUSTRIAL ICA;PIP CITE AGROINDUSTRIAL ICA;A
2020;0523;PIP CITE AGROINDUSTRIAL HUALLAGA;PIP CITE AGROINDUSTRIAL HUALLAGA;A
2020;0524;PIP CITE TEXTIL CAMELIDOS AREQUIPA;PIP CITE TEXTIL CAMELIDOS AREQUIPA;A
2020;0525;PIP UT ACUICOLA PUNO;PIP UT ACUICOLA PUNO;A
2020;0526;PIP CITE ACUICOLA AHUASHIYACU;PIP CITE ACUICOLA AHUASHIYACU;A
2020;0527;PIP CITE CORONEL PORTILLO - UCAYALI;PIP CITE CORONEL PORTILLO - UCAYALI;I
2020;0528;PIP UT ACUICOLA SECHURA;PIP UT ACUICOLA SECHURA;A
2020;0529;PIP CITE MADERA LIMA;PIP CITE MADERA LIMA;A
2020;0530;PIP CITE FORESTAL PUCALLPA;PIP CITE FORESTAL PUCALLPA;A
2020;0531;PIP CITE TEXTIL CAMELIDOS CUSCO;PIP CITE TEXTIL CAMELIDOS CUSCO;A
2020;0532;PIP CITE TEXTIL CAMELIDOS PUNO;PIP CITE TEXTIL CAMELIDOS PUNO;A
2020;0533;PIP CITE CUERO Y CALZADO SAÑO;PIP CITE CUERO Y CALZADO SAÑO;A
2020;0534;PIP CITE AGROINDUSTRIAL OXAPAMPA;PIP CITE AGROINDUSTRIAL OXAPAMPA;A
2020;0535;PIP UT AGROINDUSTRIAL AMBO;PIP UT AGROINDUSTRIAL AMBO;A
2020;0536;NO PIP - ADQUISICION DE EQUIPOS PARA EL CITE PESQUERO PIURA - IOARR 2459643;NO PIP - ADQUISICION DE EQUIPOS PARA EL CITE PESQU;A
2020;0540;NO PIP - RENOVACION DE SUMINISTRO DE GAS NATURAL Y DESCARGA DE AGUAS RESIDUALES CITE PESQUERO CALLAO;NO PIP - RENOVACION DE SUMINISTRO DE GAS NATURAL Y;A
2020;0541;NO PIP - DATA CENTER ITP - IOARR 2458079;NO PIP - DATA CENTER ITP - IOARR 2458079;A
2020;0542;NO PIP - EQUIPOS DIDITT - IOARR 2459263;NO PIP - EQUIPOS DIDITT - IOARR 2459263;A
2020;0543;NO PIP - SILLAS ITP - IOARR 2471937;NO PIP - SILLAS ITP - IOARR 2471937;A
2020;0544;NO PIP - HARDWARE Y SOFTWARE ITP - IOARR 2380006;NO PIP - HARDWARE Y SOFTWARE ITP - IOARR 2380006;A
2020;0545;NO PIP - EQUIPOS CITE PESQUERO PIURA - IOARR 2466073;NO PIP - EQUIPOS CITE PESQUERO PIURA - IOARR 24660;A
2020;0546;NO PIP - EQUIPOS CITE PESQUERO CALLAO - IOARR 2459643;NO PIP - EQUIPOS CITE PESQUERO CALLAO - IOARR 2459;A
2020;0547;NO PIP - ADQUISICION DE EQUIPOS DE AMBIENTES PARA EL CITE MADERA LIMA - IOARR 2499440;NO PIP - ADQUISICION DE EQUIPOS PARA EL CITE MADER;A
2020;0550;NO PIP - CITE FORESTAL PUCALLPA - IOARR - 2480705;NO PIP - CITE FORESTAL PUCALLPA - IOARR - 2480705;A
2020;0600;CITES;CITES;A
2020;0601;CENTRO DE INNOVACION TECNOLOGICA DE LA MADERA LIMA;CITE MADERA LIMA;A
2020;0101;PROYECTO SECADO N° 142 INNOVATE PERU-IAPIP-2018;PROYECTO SECADO N° 142 INNOVATE PERU-IAPIP-2018;A
2020;0102;PROYECTO CHE N° 146 INNOVATE PERU-IAPIP-2018;PROYECTO CHE N° 146 INNOVATE PERU-IAPIP-2018;A
2020;0103;CONTRATO N° 046-2019-FONDECYT-BM - CITE MADERA LIMA;CONTRATO N° 046-2019-FONDECYT-BM;A
2020;0104;"CARTA DE SUBVENCIÓN N° 2000011040 (PEER-USAID) - CITE MADERA LIMA ";CARTA DE SUBVENCIÓN N° 2000011040 (PEER-USAID) - C;A
